name	linking_url
Autriche	https://fr.wikipedia.org/wiki/Autriche
Arc de triomphe de l'Étoile	https://fr.wikipedia.org/wiki/Arc_de_triomphe_de_l'Étoile
Afghanistan	https://fr.wikipedia.org/wiki/Afghanistan
Auvergne	https://fr.wikipedia.org/wiki/Auvergne
Aisne	https://fr.wikipedia.org/wiki/Aisne_(département)
Allier	https://fr.wikipedia.org/wiki/Allier_(département)
Alpes-de-Haute-Provence	https://fr.wikipedia.org/wiki/Alpes-de-Haute-Provence
Alpes-Maritimes	https://fr.wikipedia.org/wiki/Alpes-Maritimes
Ardèche	https://fr.wikipedia.org/wiki/Ardèche_(département)
Ariège	https://fr.wikipedia.org/wiki/Ariège_(département)
Aube	https://fr.wikipedia.org/wiki/Aube_(département)
Aude	https://fr.wikipedia.org/wiki/Aude_(département)
Aveyron	https://fr.wikipedia.org/wiki/Aveyron_(département)
Argentine	https://fr.wikipedia.org/wiki/Argentine
Afrique du Sud	https://fr.wikipedia.org/wiki/Afrique_du_Sud
Arabie saoudite	https://fr.wikipedia.org/wiki/Arabie_saoudite
Arménie	https://fr.wikipedia.org/wiki/Arménie
Angola	https://fr.wikipedia.org/wiki/Angola
Andorre	https://fr.wikipedia.org/wiki/Andorre
Antigua-et-Barbuda	https://fr.wikipedia.org/wiki/Antigua-et-Barbuda
Alger	https://fr.wikipedia.org/wiki/Alger
Amérique du Sud	https://fr.wikipedia.org/wiki/Amérique_du_Sud
Akihabara	https://fr.wikipedia.org/wiki/Akihabara
Anvers	https://fr.wikipedia.org/wiki/Anvers
Asie	https://fr.wikipedia.org/wiki/Asie
Afrique	https://fr.wikipedia.org/wiki/Afrique
Andalousie	https://fr.wikipedia.org/wiki/Andalousie
Amsterdam	https://fr.wikipedia.org/wiki/Amsterdam
Alberta	https://fr.wikipedia.org/wiki/Alberta
Aruba	https://fr.wikipedia.org/wiki/Aruba
Géographie de l'Arabie saoudite	https://fr.wikipedia.org/wiki/Géographie_de_l'Arabie_saoudite
Belgique	https://fr.wikipedia.org/wiki/Belgique
Bruxelles	https://fr.wikipedia.org/wiki/Bruxelles
Bourgogne	https://fr.wikipedia.org/wiki/Bourgogne
Basse-Normandie	https://fr.wikipedia.org/wiki/Basse-Normandie
Bas-Rhin	https://fr.wikipedia.org/wiki/Bas-Rhin
Bouches-du-Rhône	https://fr.wikipedia.org/wiki/Bouches-du-Rhône
Brésil	https://fr.wikipedia.org/wiki/Brésil
Bangladesh	https://fr.wikipedia.org/wiki/Bangladesh
Bahamas	https://fr.wikipedia.org/wiki/Bahamas
Bénin	https://fr.wikipedia.org/wiki/Bénin
Bulgarie	https://fr.wikipedia.org/wiki/Bulgarie
Beaujolais	https://fr.wikipedia.org/wiki/Beaujolais
Brive-la-Gaillarde	https://fr.wikipedia.org/wiki/Brive-la-Gaillarde
Burdigala	https://fr.wikipedia.org/wiki/Burdigala
Bouliac	https://fr.wikipedia.org/wiki/Bouliac
Bahreïn	https://fr.wikipedia.org/wiki/Bahreïn
Belize	https://fr.wikipedia.org/wiki/Belize
Bhoutan	https://fr.wikipedia.org/wiki/Bhoutan
Bosnie-Herzégovine	https://fr.wikipedia.org/wiki/Bosnie-Herzégovine
Botswana	https://fr.wikipedia.org/wiki/Botswana
Brunei	https://fr.wikipedia.org/wiki/Brunei
Burkina Faso	https://fr.wikipedia.org/wiki/Burkina_Faso
Barbade	https://fr.wikipedia.org/wiki/Barbade
Centre-Val de Loire	https://fr.wikipedia.org/wiki/Centre-Val_de_Loire
Champagne-Ardenne	https://fr.wikipedia.org/wiki/Champagne-Ardenne
Corse	https://fr.wikipedia.org/wiki/Corse
Calvados	https://fr.wikipedia.org/wiki/Calvados_(département)
Cantal	https://fr.wikipedia.org/wiki/Cantal_(département)
Charente	https://fr.wikipedia.org/wiki/Charente_(département)
Charente-Maritime	https://fr.wikipedia.org/wiki/Charente-Maritime
Cher	https://fr.wikipedia.org/wiki/Cher_(département)
Corrèze	https://fr.wikipedia.org/wiki/Corrèze_(département)
Creuse	https://fr.wikipedia.org/wiki/Creuse_(département)
Côte-d'Or	https://fr.wikipedia.org/wiki/Côte-d'Or
Corée du Sud	https://fr.wikipedia.org/wiki/Corée_du_Sud
Cambodge	https://fr.wikipedia.org/wiki/Cambodge
Chili	https://fr.wikipedia.org/wiki/Chili
Costa Rica	https://fr.wikipedia.org/wiki/Costa_Rica
Californie	https://fr.wikipedia.org/wiki/Californie
Château de Pierrefonds	https://fr.wikipedia.org/wiki/Château_de_Pierrefonds
Cathédrale Notre-Dame de Chartres	https://fr.wikipedia.org/wiki/Cathédrale_Notre-Dame_de_Chartres
Caen	https://fr.wikipedia.org/wiki/Caen
Palais de la Cité	https://fr.wikipedia.org/wiki/Palais_de_la_Cité
Château de Fontainebleau	https://fr.wikipedia.org/wiki/Château_de_Fontainebleau
Cyclades	https://fr.wikipedia.org/wiki/Cyclades
Chiba	https://fr.wikipedia.org/wiki/Chiba
Cameroun	https://fr.wikipedia.org/wiki/Cameroun
République du Congo	https://fr.wikipedia.org/wiki/République_du_Congo
Côte d'Ivoire	https://fr.wikipedia.org/wiki/Côte_d'Ivoire
Croatie	https://fr.wikipedia.org/wiki/Croatie
Cap-Vert	https://fr.wikipedia.org/wiki/Cap-Vert
Archipel des Comores	https://fr.wikipedia.org/wiki/Archipel_des_Comores
Choisy-le-Roi	https://fr.wikipedia.org/wiki/Choisy-le-Roi
Créteil	https://fr.wikipedia.org/wiki/Créteil
Chiapas	https://fr.wikipedia.org/wiki/Chiapas
Danemark	https://fr.wikipedia.org/wiki/Danemark
Doubs	https://fr.wikipedia.org/wiki/Doubs_(département)
Deux-Sèvres	https://fr.wikipedia.org/wiki/Deux-Sèvres
Dublin	https://fr.wikipedia.org/wiki/Dublin
Deir el-Médineh	https://fr.wikipedia.org/wiki/Deir_el-Médineh
Dominique	https://fr.wikipedia.org/wiki/Dominique_(pays)
Eure-et-Loir	https://fr.wikipedia.org/wiki/Eure-et-Loir
Essonne	https://fr.wikipedia.org/wiki/Essonne_(département)
Europe	https://fr.wikipedia.org/wiki/Europe
Electronic Entertainment Expo	https://fr.wikipedia.org/wiki/Electronic_Entertainment_Expo
Estonie	https://fr.wikipedia.org/wiki/Estonie
Finlande	https://fr.wikipedia.org/wiki/Finlande
France	https://fr.wikipedia.org/wiki/France
Franche-Comté	https://fr.wikipedia.org/wiki/Franche-Comté
Finistère	https://fr.wikipedia.org/wiki/Finistère
Fidji	https://fr.wikipedia.org/wiki/Fidji
Floride	https://fr.wikipedia.org/wiki/Floride
Grèce	https://fr.wikipedia.org/wiki/Grèce
Gard	https://fr.wikipedia.org/wiki/Gard
Gers	https://fr.wikipedia.org/wiki/Gers_(département)
Gironde	https://fr.wikipedia.org/wiki/Gironde_(département)
Guatemala	https://fr.wikipedia.org/wiki/Guatemala
Ghana	https://fr.wikipedia.org/wiki/Ghana
Géographie du Japon	https://fr.wikipedia.org/wiki/Géographie_du_Japon
Géographie de la Grèce	https://fr.wikipedia.org/wiki/Géographie_de_la_Grèce
Canton de Genève	https://fr.wikipedia.org/wiki/Canton_de_Genève
Grenoble	https://fr.wikipedia.org/wiki/Grenoble
Garonne	https://fr.wikipedia.org/wiki/Garonne
Géographie du Venezuela	https://fr.wikipedia.org/wiki/Géographie_du_Venezuela
Géographie du Mexique	https://fr.wikipedia.org/wiki/Géographie_du_Mexique
Ginza	https://fr.wikipedia.org/wiki/Ginza
Gaule romaine	https://fr.wikipedia.org/wiki/Gaule_romaine
Géographie de l'Ouganda	https://fr.wikipedia.org/wiki/Géographie_de_l'Ouganda
Grande-Bretagne	https://fr.wikipedia.org/wiki/Grande-Bretagne
Gambie	https://fr.wikipedia.org/wiki/Gambie
Géorgie	https://fr.wikipedia.org/wiki/Géorgie_(pays)
Guinée	https://fr.wikipedia.org/wiki/Guinée
Guinée-Bissau	https://fr.wikipedia.org/wiki/Guinée-Bissau
Guinée équatoriale	https://fr.wikipedia.org/wiki/Guinée_équatoriale
Guyana	https://fr.wikipedia.org/wiki/Guyana
Haute-Normandie	https://fr.wikipedia.org/wiki/Haute-Normandie
Hautes-Alpes	https://fr.wikipedia.org/wiki/Hautes-Alpes
Haute-Garonne	https://fr.wikipedia.org/wiki/Haute-Garonne
Hérault	https://fr.wikipedia.org/wiki/Hérault_(département)
Haute-Loire	https://fr.wikipedia.org/wiki/Haute-Loire
Haute-Marne	https://fr.wikipedia.org/wiki/Haute-Marne
Hautes-Pyrénées	https://fr.wikipedia.org/wiki/Hautes-Pyrénées
Haut-Rhin	https://fr.wikipedia.org/wiki/Haut-Rhin
Haute-Savoie	https://fr.wikipedia.org/wiki/Haute-Savoie
Haute-Vienne	https://fr.wikipedia.org/wiki/Haute-Vienne
Hauts-de-Seine	https://fr.wikipedia.org/wiki/Hauts-de-Seine
Hiroshima	https://fr.wikipedia.org/wiki/Hiroshima
Hokkaidō	https://fr.wikipedia.org/wiki/Hokkaidō
Hongrie	https://fr.wikipedia.org/wiki/Hongrie
Honduras	https://fr.wikipedia.org/wiki/Honduras
Honshū	https://fr.wikipedia.org/wiki/Honshū
Hanovre	https://fr.wikipedia.org/wiki/Hanovre
Harajuku	https://fr.wikipedia.org/wiki/Harajuku
Irlande du Nord	https://fr.wikipedia.org/wiki/Irlande_du_Nord
Islande	https://fr.wikipedia.org/wiki/Islande
Italie	https://fr.wikipedia.org/wiki/Italie
Île-de-France	https://fr.wikipedia.org/wiki/Île-de-France
Ille-et-Vilaine	https://fr.wikipedia.org/wiki/Ille-et-Vilaine
Indre	https://fr.wikipedia.org/wiki/Indre_(département)
Indre-et-Loire	https://fr.wikipedia.org/wiki/Indre-et-Loire
Isère	https://fr.wikipedia.org/wiki/Isère_(département)
Indonésie	https://fr.wikipedia.org/wiki/Indonésie
Inde	https://fr.wikipedia.org/wiki/Inde
Iran	https://fr.wikipedia.org/wiki/Iran
Ingrie	https://fr.wikipedia.org/wiki/Ingrie
Japon	https://fr.wikipedia.org/wiki/Japon
Jordanie	https://fr.wikipedia.org/wiki/Jordanie
Kagoshima	https://fr.wikipedia.org/wiki/Kagoshima
Kyoto	https://fr.wikipedia.org/wiki/Kyoto
Kenya	https://fr.wikipedia.org/wiki/Kenya
Kingston	https://fr.wikipedia.org/wiki/Kingston_(Jamaïque)
Luxembourg	https://fr.wikipedia.org/wiki/Luxembourg_(pays)
Languedoc-Roussillon	https://fr.wikipedia.org/wiki/Languedoc-Roussillon
Limousin	https://fr.wikipedia.org/wiki/Limousin
Lorraine	https://fr.wikipedia.org/wiki/Lorraine
Landes	https://fr.wikipedia.org/wiki/Landes_(département)
Loir-et-Cher	https://fr.wikipedia.org/wiki/Loir-et-Cher
Loire-Atlantique	https://fr.wikipedia.org/wiki/Loire-Atlantique
Loiret	https://fr.wikipedia.org/wiki/Loiret_(département)
Lot-et-Garonne	https://fr.wikipedia.org/wiki/Lot-et-Garonne
Liévin	https://fr.wikipedia.org/wiki/Liévin
Le Fleix	https://fr.wikipedia.org/wiki/Le_Fleix
Liban	https://fr.wikipedia.org/wiki/Liban
Los Angeles	https://fr.wikipedia.org/wiki/Los_Angeles
Le Barp	https://fr.wikipedia.org/wiki/Le_Barp
La Cime	https://fr.wikipedia.org/wiki/La_Cime
Lettonie	https://fr.wikipedia.org/wiki/Lettonie
Myconos	https://fr.wikipedia.org/wiki/Myconos
Maine-et-Loire	https://fr.wikipedia.org/wiki/Maine-et-Loire
Manche	https://fr.wikipedia.org/wiki/Manche_(département)
Mayenne	https://fr.wikipedia.org/wiki/Mayenne_(département)
Meurthe-et-Moselle	https://fr.wikipedia.org/wiki/Meurthe-et-Moselle
Meuse	https://fr.wikipedia.org/wiki/Meuse_(département)
Morbihan	https://fr.wikipedia.org/wiki/Morbihan
Moselle	https://fr.wikipedia.org/wiki/Moselle_(département)
Mexique	https://fr.wikipedia.org/wiki/Mexique
Monbazillac	https://fr.wikipedia.org/wiki/Monbazillac
Maison-Blanche	https://fr.wikipedia.org/wiki/Maison-Blanche
Marseille	https://fr.wikipedia.org/wiki/Marseille
Madrid	https://fr.wikipedia.org/wiki/Madrid
Mandacou	https://fr.wikipedia.org/wiki/Mandacou
Midi-Pyrénées	https://fr.wikipedia.org/wiki/Midi-Pyrénées
Mont Fuji	https://fr.wikipedia.org/wiki/Mont_Fuji
Marciac	https://fr.wikipedia.org/wiki/Marciac
Nièvre	https://fr.wikipedia.org/wiki/Nièvre_(département)
Népal	https://fr.wikipedia.org/wiki/Népal
Norvège	https://fr.wikipedia.org/wiki/Norvège
Nagasaki	https://fr.wikipedia.org/wiki/Nagasaki
Nouvelle-Zélande	https://fr.wikipedia.org/wiki/Nouvelle-Zélande
New York	https://fr.wikipedia.org/wiki/New_York
Nil	https://fr.wikipedia.org/wiki/Nil
Nîmes	https://fr.wikipedia.org/wiki/Nîmes
Nunavut	https://fr.wikipedia.org/wiki/Nunavut
Osaka	https://fr.wikipedia.org/wiki/Osaka
Oise	https://fr.wikipedia.org/wiki/Oise_(département)
Oxyrhynque	https://fr.wikipedia.org/wiki/Oxyrhynque
Oslo	https://fr.wikipedia.org/wiki/Oslo
Ouganda	https://fr.wikipedia.org/wiki/Ouganda
Orlando	https://fr.wikipedia.org/wiki/Orlando_(Floride)
Pays-Bas	https://fr.wikipedia.org/wiki/Pays-Bas
Pays de la Loire	https://fr.wikipedia.org/wiki/Pays_de_la_Loire
Picardie	https://fr.wikipedia.org/wiki/Picardie
Poitou-Charentes	https://fr.wikipedia.org/wiki/Poitou-Charentes
Pas-de-Calais	https://fr.wikipedia.org/wiki/Pas-de-Calais
Puy-de-Dôme	https://fr.wikipedia.org/wiki/Puy-de-Dôme
Pyrénées-Atlantiques	https://fr.wikipedia.org/wiki/Pyrénées-Atlantiques
Pyrénées-Orientales	https://fr.wikipedia.org/wiki/Pyrénées-Orientales
Portugal	https://fr.wikipedia.org/wiki/Portugal
Pérou	https://fr.wikipedia.org/wiki/Pérou
Pologne	https://fr.wikipedia.org/wiki/Pologne
Pyrénées	https://fr.wikipedia.org/wiki/Pyrénées
Pluton	https://fr.wikipedia.org/wiki/Pluton_(planète_naine)
Qatar	https://fr.wikipedia.org/wiki/Qatar
Querétaro	https://fr.wikipedia.org/wiki/Querétaro
Russie	https://fr.wikipedia.org/wiki/Russie
Royaume-Uni	https://fr.wikipedia.org/wiki/Royaume-Uni
Rhône-Alpes	https://fr.wikipedia.org/wiki/Rhône-Alpes
Rhône	https://fr.wikipedia.org/wiki/Rhône
République démocratique du Congo	https://fr.wikipedia.org/wiki/République_démocratique_du_Congo
Redmond	https://fr.wikipedia.org/wiki/Redmond_(Washington)
République dominicaine	https://fr.wikipedia.org/wiki/République_dominicaine
Saône-et-Loire	https://fr.wikipedia.org/wiki/Saône-et-Loire
Sarthe	https://fr.wikipedia.org/wiki/Sarthe_(département)
Savoie	https://fr.wikipedia.org/wiki/Savoie_(département)
Seine-et-Marne	https://fr.wikipedia.org/wiki/Seine-et-Marne
Seine-Saint-Denis	https://fr.wikipedia.org/wiki/Seine-Saint-Denis
Sapporo	https://fr.wikipedia.org/wiki/Sapporo
Suisse	https://fr.wikipedia.org/wiki/Suisse
Salt Lake City	https://fr.wikipedia.org/wiki/Salt_Lake_City
Seto	https://fr.wikipedia.org/wiki/Seto
Santiago	https://fr.wikipedia.org/wiki/Santiago
Shinjuku	https://fr.wikipedia.org/wiki/Shinjuku
Sahara	https://fr.wikipedia.org/wiki/Sahara
Seine	https://fr.wikipedia.org/wiki/Seine
Shikoku	https://fr.wikipedia.org/wiki/Shikoku
Sénégal	https://fr.wikipedia.org/wiki/Sénégal
Saint-Marin	https://fr.wikipedia.org/wiki/Saint-Marin
Séville	https://fr.wikipedia.org/wiki/Séville
Shibuya	https://fr.wikipedia.org/wiki/Shibuya
Soudan	https://fr.wikipedia.org/wiki/Soudan
Saint-André-de-Cubzac	https://fr.wikipedia.org/wiki/Saint-André-de-Cubzac
Strasbourg	https://fr.wikipedia.org/wiki/Strasbourg
San Francisco	https://fr.wikipedia.org/wiki/San_Francisco
Thaïlande	https://fr.wikipedia.org/wiki/Thaïlande
Tarn	https://fr.wikipedia.org/wiki/Tarn_(département)
Tarn-et-Garonne	https://fr.wikipedia.org/wiki/Tarn-et-Garonne
Territoire de Belfort	https://fr.wikipedia.org/wiki/Territoire_de_Belfort
Texas	https://fr.wikipedia.org/wiki/Texas
Tell Basta	https://fr.wikipedia.org/wiki/Tell_Basta
Toulouse	https://fr.wikipedia.org/wiki/Toulouse
Tinos	https://fr.wikipedia.org/wiki/Tinos
Tanzanie	https://fr.wikipedia.org/wiki/Tanzanie
Tunisie	https://fr.wikipedia.org/wiki/Tunisie
Ukraine	https://fr.wikipedia.org/wiki/Ukraine
Uruguay	https://fr.wikipedia.org/wiki/Uruguay
Utah	https://fr.wikipedia.org/wiki/Utah
Union des républiques socialistes soviétiques	https://fr.wikipedia.org/wiki/Union_des_républiques_socialistes_soviétiques
Var	https://fr.wikipedia.org/wiki/Var_(département)
Vosges	https://fr.wikipedia.org/wiki/Vosges_(département)
Venezuela	https://fr.wikipedia.org/wiki/Venezuela
Valentigney	https://fr.wikipedia.org/wiki/Valentigney
Varsovie	https://fr.wikipedia.org/wiki/Varsovie
Val-de-Marne	https://fr.wikipedia.org/wiki/Val-de-Marne
Monbazillac	https://fr.wikipedia.org/wiki/Monbazillac_(AOC)
World Trade Center	https://fr.wikipedia.org/wiki/World_Trade_Center
Yvelines	https://fr.wikipedia.org/wiki/Yvelines
Yonne	https://fr.wikipedia.org/wiki/Yonne_(département)
Yokohama	https://fr.wikipedia.org/wiki/Yokohama
Zimbabwe	https://fr.wikipedia.org/wiki/Zimbabwe
Zambie	https://fr.wikipedia.org/wiki/Zambie
Attentats du 11 septembre 2001	https://fr.wikipedia.org/wiki/Attentats_du_11_septembre_2001
Équateur	https://fr.wikipedia.org/wiki/Équateur_(pays)
Égypte	https://fr.wikipedia.org/wiki/Égypte
Émirats arabes unis	https://fr.wikipedia.org/wiki/Émirats_arabes_unis
Érythrée	https://fr.wikipedia.org/wiki/Érythrée
Henri Poincaré	https://fr.wikipedia.org/wiki/Henri_Poincaré
Vannes	https://fr.wikipedia.org/wiki/Vannes
Pierre de Rosette	https://fr.wikipedia.org/wiki/Pierre_de_Rosette
Paraguay	https://fr.wikipedia.org/wiki/Paraguay
Florence	https://fr.wikipedia.org/wiki/Florence
Kirghizistan	https://fr.wikipedia.org/wiki/Kirghizistan
Tchad	https://fr.wikipedia.org/wiki/Tchad
Caroline du Nord	https://fr.wikipedia.org/wiki/Caroline_du_Nord
Londres	https://fr.wikipedia.org/wiki/Londres
Angleterre	https://fr.wikipedia.org/wiki/Angleterre
Nara	https://fr.wikipedia.org/wiki/Nara
