name	linking_url
Advanced Micro Devices	https://fr.wikipedia.org/wiki/Advanced_Micro_Devices
Apple	https://fr.wikipedia.org/wiki/Apple
Association francophone des utilisateurs de logiciels libres	https://fr.wikipedia.org/wiki/Association_francophone_des_utilisateurs_de_logiciels_libres
Aston Martin	https://fr.wikipedia.org/wiki/Aston_Martin
Amstrad	https://fr.wikipedia.org/wiki/Amstrad
America Online	https://fr.wikipedia.org/wiki/America_Online
Alcatel	https://fr.wikipedia.org/wiki/Alcatel
Banque du Japon	https://fr.wikipedia.org/wiki/Banque_du_Japon
Conseil de sécurité des Nations unies	https://fr.wikipedia.org/wiki/Conseil_de_sécurité_des_Nations_unies
Catholicisme	https://fr.wikipedia.org/wiki/Catholicisme
Central Intelligence Agency	https://fr.wikipedia.org/wiki/Central_Intelligence_Agency
Conseil national de la protection de la nature	https://fr.wikipedia.org/wiki/Conseil_national_de_la_protection_de_la_nature
Cable News Network	https://fr.wikipedia.org/wiki/Cable_News_Network
D'Ieteren	https://fr.wikipedia.org/wiki/D'Ieteren
Direction régionale de l'Environnement	https://fr.wikipedia.org/wiki/Direction_régionale_de_l'Environnement
Enron	https://fr.wikipedia.org/wiki/Enron
Federal Bureau of Investigation	https://fr.wikipedia.org/wiki/Federal_Bureau_of_Investigation
Ford	https://fr.wikipedia.org/wiki/Ford
Fonds monétaire international	https://fr.wikipedia.org/wiki/Fonds_monétaire_international
France Télécom	https://fr.wikipedia.org/wiki/France_Télécom
Google	https://fr.wikipedia.org/wiki/Google
Greenpeace	https://fr.wikipedia.org/wiki/Greenpeace
Hewlett-Packard	https://fr.wikipedia.org/wiki/Hewlett-Packard
Hitachi	https://fr.wikipedia.org/wiki/Hitachi
Intel	https://fr.wikipedia.org/wiki/Intel
Infogrames Entertainment	https://fr.wikipedia.org/wiki/Infogrames_Entertainment
Inuits	https://fr.wikipedia.org/wiki/Inuits
Land Rover	https://fr.wikipedia.org/wiki/Land_Rover
Microsoft	https://fr.wikipedia.org/wiki/Microsoft
Mitsubishi	https://fr.wikipedia.org/wiki/Mitsubishi
Maxtor	https://fr.wikipedia.org/wiki/Maxtor
Maserati	https://fr.wikipedia.org/wiki/Maserati
Massachusetts Institute of Technology	https://fr.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
Marché commun du Sud	https://fr.wikipedia.org/wiki/Marché_commun_du_Sud
Nintendo	https://fr.wikipedia.org/wiki/Nintendo
