name	linking_url
Autriche	https://fr.wikipedia.org/wiki/Autriche
Arc de triomphe de l'Étoile	https://fr.wikipedia.org/wiki/Arc_de
Afghanistan	https://fr.wikipedia.org/wiki/Afghanistan
Auvergne	https://fr.wikipedia.org/wiki/Auvergne
Aisne (département)	https://fr.wikipedia.org/wiki/Aisne_(département)
Allier (département)	https://fr.wikipedia.org/wiki/Allier_(département)
Alpes-de-Haute-Provence	https://fr.wikipedia.org/wiki/Alpes-de-Haute-Provence
Alpes-Maritimes	https://fr.wikipedia.org/wiki/Alpes-Maritimes
Ardèche (département)	https://fr.wikipedia.org/wiki/Ardèche_(département)
Ariège (département)	https://fr.wikipedia.org/wiki/Ariège_(département)
Aube (département)	https://fr.wikipedia.org/wiki/Aube_(département)
Aude (département)	https://fr.wikipedia.org/wiki/Aude_(département)
Aveyron (département)	https://fr.wikipedia.org/wiki/Aveyron_(département)
Argentine	https://fr.wikipedia.org/wiki/Argentine
Afrique du Sud	https://fr.wikipedia.org/wiki/Afrique_du
Arabie saoudite	https://fr.wikipedia.org/wiki/Arabie_saoudite
Arménie	https://fr.wikipedia.org/wiki/Arménie
Angola	https://fr.wikipedia.org/wiki/Angola
Andorre	https://fr.wikipedia.org/wiki/Andorre
Antigua-et-Barbuda	https://fr.wikipedia.org/wiki/Antigua-et-Barbuda
Alger	https://fr.wikipedia.org/wiki/Alger
Akihabara	https://fr.wikipedia.org/wiki/Akihabara
Anvers	https://fr.wikipedia.org/wiki/Anvers
Amsterdam	https://fr.wikipedia.org/wiki/Amsterdam
Alberta	https://fr.wikipedia.org/wiki/Alberta
Aruba	https://fr.wikipedia.org/wiki/Aruba
Belgique	https://fr.wikipedia.org/wiki/Belgique
Bruxelles	https://fr.wikipedia.org/wiki/Bruxelles
Bourgogne	https://fr.wikipedia.org/wiki/Bourgogne
Basse-Normandie	https://fr.wikipedia.org/wiki/Basse-Normandie
Bas-Rhin	https://fr.wikipedia.org/wiki/Bas-Rhin
Bouches-du-Rhône	https://fr.wikipedia.org/wiki/Bouches-du-Rhône
Brésil	https://fr.wikipedia.org/wiki/Brésil
Bangladesh	https://fr.wikipedia.org/wiki/Bangladesh
Bahamas	https://fr.wikipedia.org/wiki/Bahamas
Bénin	https://fr.wikipedia.org/wiki/Bénin
Bulgarie	https://fr.wikipedia.org/wiki/Bulgarie
Brive-la-Gaillarde	https://fr.wikipedia.org/wiki/Brive-la-Gaillarde
Burdigala	https://fr.wikipedia.org/wiki/Burdigala
Bouliac	https://fr.wikipedia.org/wiki/Bouliac
Banque du Japon	https://fr.wikipedia.org/wiki/Banque_du
Bahreïn	https://fr.wikipedia.org/wiki/Bahreïn
Belize	https://fr.wikipedia.org/wiki/Belize
Bhoutan	https://fr.wikipedia.org/wiki/Bhoutan
Bosnie-Herzégovine	https://fr.wikipedia.org/wiki/Bosnie-Herzégovine
Botswana	https://fr.wikipedia.org/wiki/Botswana
Brunei	https://fr.wikipedia.org/wiki/Brunei
Burkina Faso	https://fr.wikipedia.org/wiki/Burkina_Faso
Barbade	https://fr.wikipedia.org/wiki/Barbade
Corse	https://fr.wikipedia.org/wiki/Corse
Calvados (département)	https://fr.wikipedia.org/wiki/Calvados_(département)
Cantal (département)	https://fr.wikipedia.org/wiki/Cantal_(département)
Charente (département)	https://fr.wikipedia.org/wiki/Charente_(département)
Charente-Maritime	https://fr.wikipedia.org/wiki/Charente-Maritime
